Company,Sector,Rating,Description,Commitment to Net Zero?,Net Zero Year,Aligned to <2C goals,Target ambition,Target comprehensiveness
Tesco,Grocery Store,8,"Committed net-zero target 2030
Twice annual public emissions disclosure
8% revenue committed to emissions reduction",Yes,2050,Yes,High ,Medium 
Aldi,Grocery Store,6,"Committed net-zero target 2040
Annual public emissions disclosure
6% revenue committed to emissions reduction",No,2049,No,Medium,High
Sainsbury,Grocery Store,7,"Committed net-zero target 2040
Twice annual public emissions disclosure
8% revenue committed to emissions reduction",Yes,2048,Yes,Low ,Low
Lidl,Grocery Store,1,"Committed net-zero target 2050
No public emissions disclosure
2% revenue committed to emissions reduction",No,2047,No,High ,Medium 
Marks and Spencer food,Grocery Store,5,"Committed net-zero target 2050
No public emissions disclosure
2% revenue committed to emissions reduction",Yes,N/A,Yes,Medium,High
Morrisons,Grocery Store,6,"Committed net-zero target 2035
Annual public emissions disclosure
3% revenue committed to emissions reduction",No,2045,No,Low ,Low
Asda,Grocery Store,7,"Committed net-zero target 2040
No public emissions disclosure
8% revenue committed to emissions reduction",Yes,2044,Yes,High ,Medium 
Waitrose,Grocery Store,6,"Committed net-zero target 2045
No public emissions disclosure
4% revenue committed to emissions reduction",No,2043,No,Medium,High
Co-op,Grocery Store,4,"Committed net-zero target 2045
Annual public emissions disclosure
2% revenue committed to emissions reduction",Yes,2042,Yes,Low ,Low
NatWest,Bank,5,,No,2041,No,High ,Medium 
Barclays,Bank,5,,Yes,2040,Yes,Medium,High
HSBC,Bank,4,,No,2039,No,Low ,Low
Lloyds,Bank,8,,Yes,2038,Yes,High ,Medium 
RBS,Bank,10,,Yes,2037,No,Medium,High
B&M,Department Store,3,,No,2036,Yes,Low ,Low
Next,Department Store,8,,Yes,2035,No,High ,Medium 
House of Fraser,Department Store,9,,No,2034,Yes,Medium,High
Debenhams,Department Store,2,,Yes,2033,No,Low ,Low
The Body Shop,Pharmacy,7,,No,N/A,Yes,High ,Medium 
Boots,Pharmacy,4,,Yes,2035,No,Medium,High
Sephora,Pharmacy,7,,No,2036,Yes,Low ,Low
John lewis,Pharmacy,10,,Yes,2037,No,High ,Medium 
Holland and Barrett,Pharmacy,7,,No,2038,Yes,Medium,High
L'occitane,Pharmacy,10,,Yes,2039,No,Low ,Low
superdrug,Pharmacy,2,,No,2040,Yes,High ,Medium 
ExxonMobil,Petrol Station,2,,Yes,2041,No,Medium,High
BP,Petrol Station,8,,Yes,2042,Yes,Low ,Low
Shell,Petrol Station,1,,No,2043,No,High ,Medium 
Chevron,Petrol Station,5,,Yes,2044,Yes,Medium,High
Chipotle,Restaurant,5,,No,2045,No,Low ,Low
Tortilla,Restaurant,6,,Yes,2046,Yes,High ,Medium 
Greggs,Restaurant,9,,No,2047,No,Medium,High
Leon,Restaurant,10,,Yes,2048,Yes,Low ,Low
Eat,Restaurant,5,,No,2049,No,High ,Medium 
Wimpy,Restaurant,4,,Yes,2050,Yes,Medium,High
Yo! Sushi,Restaurant,10,,No,2051,No,Low ,Low
Bens Cookies,Restaurant,3,,Yes,2052,Yes,High ,Medium 
Nando’s,Restaurant,10,,No,2053,No,Medium,High
Mcdonalds,Restaurant,8,,Yes,2054,Yes,Low ,Low
Burger king,Restaurant,1,,Yes,2055,No,High ,Medium 
Kfc,Restaurant,3,,No,2056,Yes,Medium,High
Pizza hut,Restaurant,7,,Yes,2057,No,Low ,Low
Dominos pizza,Restaurant,1,,No,2058,Yes,High ,Medium 
Pizza express,Restaurant,3,,Yes,2059,No,Medium,High
Krispy kreme,Restaurant,3,,No,2060,Yes,Low ,Low
Subway,Restaurant,8,,Yes,2061,No,High ,Medium 
Toby carvey,Restaurant,9,,No,2062,Yes,Medium,High
Jd wetherspoon,Restaurant,1,,Yes,2063,No,Low ,Low
Starbucks,Coffee Shop,10,,No,2064,Yes,High ,Medium 
Cafe nero,Coffee Shop,6,,Yes,2065,No,Medium,High
Costa coffee,Coffee Shop,4,,No,2066,Yes,Low ,Low
Pret a Manger,Coffee Shop,7,,Yes,2067,No,High ,Medium 
AMT Coffee,Coffee Shop,3,,Yes,2068,Yes,Medium,High
Gail's Bakery,Coffee Shop,3,,No,2069,No,Low ,Low
H&M,Clothing Retailer,5,,Yes,2070,Yes,High ,Medium 
John Lewis,Clothing Retailer,4,,No,2071,No,Medium,High
Marks & Spencer,Clothing Retailer,6,,Yes,2072,Yes,Low ,Low
Next,Clothing Retailer,2,,No,2073,No,High ,Medium 
Primark,Clothing Retailer,8,,Yes,2074,Yes,Medium,High
River Island,Clothing Retailer,8,,No,2075,No,Low ,Low
TJX Europe,Clothing Retailer,1,,Yes,2076,Yes,High ,Medium 
George,Clothing Retailer,1,,No,2077,No,Medium,High
Arcadia,Clothing Retailer,1,,Yes,2078,Yes,Low ,Low
TK Max,Clothing Retailer,4,,No,2079,No,High ,Medium 
JD,Clothing Retailer,5,,Yes,2080,Yes,Medium,High
Sports direct,Clothing Retailer,4,,Yes,2081,No,Low ,Low
Zara,Clothing Retailer,9,,No,2082,Yes,High ,Medium 
